feedback,pcent,session
Dislike a lot,0.00,learnr
Dislike,0.00,learnr
Dislike a little,8.70,learnr
Like a little,30.43,learnr
Like,43.48,learnr
Like a lot,17.39,learnr
Dislike a lot,0.00,rscript
Dislike,20.00,rscript
Dislike a little,20.00,rscript
Like a little,10.00,rscript
Like,30.00,rscript
Like a lot,20.00,rscript
